Reference number	Reference						
R251	Fenoglio, S., Bo, T., López-Rodríguez, M.J., Tierno de Figueroa, J.M. & Malacarne, G. (2009) Preimaginal feeding habits of Isoperla carbonaria Aubert, 1953 (Plecoptera: Perlodidae). Aquatic Insects, 31, 401–407. https://doi.org/10.1080/01650420802650862.						
R252	Polyakova, N.V., Kucheryavyy, A.V. & Kirillova, E.A. (2019) The feeding of larval of Pacific Lamprey lethenteron camtschaticum in Malaya Khusi river (Sakhalin Island). Vladimir Ya. Levanidov’s Biennial Memorial Meetings, 8, 133–138. https://doi.org/10.25221/levanidov.08.13.						
R253	Peckarsky, B.L., Cowan, C.A. & Anderson, C.R. (1994) Consequences and Plasticity of the Specialized Predatory Behavior of Stream-Dwelling Stonefly Larvae. Ecology, 75, 166–181. https://doi.org/10.2307/1939392.						
R254	Jones, J.R.E. (1950) A Further Ecological Study of the River Rheidol: The Food of the Common Insects of the Main-Stream. The Journal of Animal Ecology, 19, 159. https://doi.org/10.2307/1525						
R255	Golladay, S.W., Webster, J.R. & Benfield, E.F. (1983) Factors affecting food utilization by a leaf shredding aquatic insect: leaf species and conditioning time. Ecography, 6, 157–162. https://doi.org/10.1111/j.1600-0587.1983.tb01077.x.						
R256	Nebeker, A. V (1971) Effect of water temperature on nymphal feeding rate, emergence, and adult longevity of the stonefly Pteronarcys dorsata. Journal of the Kansas Entomological Society, 21–26.						
R257	Jin, Y.H. & Bae, Y.J. (2005) The wingless stonefly family Scopuridae (Plecoptera) in Korea. Aquatic Insects, 27, 21–34.						
R258	Carlson, C.A. (1968) Summer Bottom Fauna of the Mississippi River, above Dam 19, Keokuk, Iowa. Ecology, 49, 162–169. https://doi.org/10.2307/1933577.						
R259	Watanabe, K. (1994) Mating behavior and larval development of Pseudobagrus ichikawai (Siluriformes: Bagridae). Japanese Journal of Ichthyology, 41, 243–251.						
R260	Genkai-Kato, M. & Miyasaka, H. (2009) On the coexistence of three predatory stonefly species in a central Japanese stream. Ecological Research, 24, 705–709. https://doi.org/10.1007/s11284-008-0540-y.						
R261	Li, A.O.Y. & Dudgeon, D. (2008) The effects of leaf litter characteristics on feeding and fitness of a tropical stream shredder, Anisocentropus maculatus (Trichoptera : Calamoceratidae). Marine and Freshwater Research, 59, 897. https://doi.org/10.1071/MF08120.						
R262	Rueda, J., Molina, C. & Benavent, J.M. (2014) First dates of the Ecnomus tenellus (Rambur, 1842) (Trichoptera:Ecnomidae) in the provinces of Castellón, Cuenca and Valencia (East of Spain). Anales de Biología. https://doi.org/10.6018/analesbio.36.1.						
R263	Kuusela, K. (1979) Early summer ecology and community structure of the macrozoobenthos on stones in the Javajankoski rapids on the River Lestijoki, Finland, University of Oulu 130p.						
R264	Thompson, R.M. & Townsend, C.R. (2003) Impacts on stream food webs of native and exotic forest: an intercontinental comparison. Ecology, 84, 145–161.						
R265	Lancaster, J. (2021) Coexistence of predatory caddisfly species may be facilitated by variations in the morphology of feeding apparatus and diet. Freshwater Biology, 66, 745–752. https://doi.org/10.1111/fwb.13674.						
R266	Mecom, J.O. (1972) Feeding Habits of Trichoptera in a Mountain Stream. Oikos, 23, 401. https://doi.org/10.2307/3543180.						
R267	Wallace, J.B. (1975) The Larval Retreat and Food of Arctopsyche; with Phylogenetic Notes on Feeding Adaptations in Hydropsychidae Larvae (Trichoptera). Annals of the Entomological Society of America, 68, 167–173. https://doi.org/10.1093/aesa/68.1.167.						
R268	Wallace, J.B. & Merritt, R.W. (1980) Filter-feeding ecology of aquatic insects. Annual review of Entomology, 25, 103–132.						
R269	Khamrak, O. & Prommi, T. (2020) Life cycle and larval feeding habits of Macrostemum indistinctum Banks 1911 (Trichoptera: Hydropsychidae) in the stream flows into Krasiow Reservoir, Thailand. Journal of Food Health and Bioenvironmental Science, 13, 32–39.						
R270	Rojas Molina, F., Paggi, J.C. & Devercelli, M. (2010) Zooplanktophagy in the natural diet and selectivity of the invasive mollusk Limnoperna fortunei. Biological Invasions, 12, 1647–1659. https://doi.org/10.1007/s10530-009-9578-1.						
R271	Cruz-Escalona, V.H., Arreguín-Sánchez, F. & Zetina-Rejón, M. (2007) Analysis of the ecosystem structure of Laguna Alvarado, western Gulf of Mexico, by means of a mass balance model. Estuarine, Coastal and Shelf Science, 72, 155–167. https://doi.org/10.1016/j.ecss.2006.10.013.						
R272	Thiel, R., Mehner, T., Kopcke, B. & Kafemann, R. (1996) Diet Niche Relationships among Early Life Stages of Fish in German Estuaries. Marine and Freshwater Research, 47, 123–136.						
R273	Thorman, S. & Wiederholm, A.-M. (1986) Food, habitat and time niches in a coastal fish species assemblage in a brackish water bay in the Bothnian Sea, Sweden. Journal of Experimental Marine Biology and Ecology, 95, 67–86. https://doi.org/10.1016/0022-0981(86)90088-2.						
R274	Kjaerendsen, J., Andersen, T., Wells, A. & others Studies on hydroptilid life histories reveal an extraordinary range in feeding and case-building behaviour, probably greater than in any other Trichoptera family. Ptilocolepines are herbivorous, having close associations with particular liverwort species. Ito and colleagues have published detailed studies on the life histories of several ptilocolepine species. In Japan Palaeagapetus ovatus ITO \& HATTORI feeds exclusively on a leafy liverwort.						
R275	Maksimenkov, V. V & Tokranov, A.M. (1996) Feeding habits of nine-spined stickleback, Pungitius pungitius (Gasterosteidae) in the Estuary and Lower Bol’shaya River (west Kamchatka). Oceanographic Literature Review, 3, 288.						
R276	Conti, L., Schmidt-Kloiber, A., Grenouillet, G. & Graf, W. (2014) A trait-based approach to assess the vulnerability of European aquatic insects to climate change. Hydrobiologia, 721, 297–315.						
R277	Grafius, E. & Anderson, N.H. (1980) Populations Dynamics and Role of Two Species of Lepidostoma (Trichoptera: Lepidostomatidae) In an Oregon Coniferous Forest Stream. Ecology, 61, 808–816. https://doi.org/10.2307/1936751.						
R278	Resh, V.H., Morse, J.C. & Wallace, I.D. (1976) The Evolution of the Sponge Feeding Habit in the Caddisfly Genus Ceraclea (Trichoptera: Leptoceridae)1. Annals of the Entomological Society of America, 69, 937–941. https://doi.org/10.1093/aesa/69.5.937.						
R279	Morse, J.C. & Lenat, D.R. (2005) A new species of Ceraclea (Trichoptera:Leptoceridae) preying on snails. Journal of the North American Benthological Society, 24, 872–879. https://doi.org/10.1899/05-031.1.						
R280	Lehmkuhl, D.M. (1970) A North American Trichopteran Larva Which Feeds on Freshwater Sponges (Trichoptera: Leptoceridae; Porifera: Spongillidae). American Midland Naturalist, 84, 278. https://doi.org/10.2307/2423754.						
R281	Downing, J.A. (1981) In Situ Foraging Responses of Three Species of Littoral Cladocerans. Ecological Monographs, 51, 85–104. https://doi.org/10.2307/2937308.						
R282	Talbot, J.M. & Ward, J.C. (1987) Macroinvertebrates associated with aquatic macrophytes in Lake Alexandria, New Zealand. New Zealand Journal of Marine and Freshwater Research, 21, 199–213. https://doi.org/10.1080/00288330.1987.9516216.						
R283	Glover, J.B. (1993) The taxonomy and biology of the larvae of the North American caddisflies in the genera Triaenodes and Ylodes (Trichoptera: Leptoceridae), University of Louisville.						
R284	Mihuc, T. & Toetz, D. (1994) Determination of Diets of Alpine Aquatic Insects Using Stable Isotopes and Gut Analysis. American Midland Naturalist, 131, 146. https://doi.org/10.2307/2426617.						
R285	Irons, J.G., Oswood, M.W. & Bryant, J.P. (1988) Consumption of leaf detritus by a stream shredder: Influence of tree species and nutrient status. Hydrobiologia, 160, 53–61. https://doi.org/10.1007/BF00014278.						
R286	Balibrea, A., Ferreira, V., Gonçalves, V. & Raposeiro, P.M. (2017) Consumption, growth and survival of the endemic stream shredder Limnephilus atlanticus (Trichoptera, Limnephilidae) fed with distinct leaf species. Limnologica, 64, 31–37. https://doi.org/10.1016/j.limno.2017.04.002.						
R287	Batista, D., Pascoal, C. & Cássio, F. (2020) The Increase in Temperature Overwhelms Silver Nanoparticle Effects on the Aquatic Invertebrate Limnephilus sp. Environmental Toxicology and Chemistry, 39, 1429–1437. https://doi.org/https://doi.org/10.1603/0013-8746(2000)093[0065:LHACBB]2.0.CO;2.						
R288	Pritchard, G. & Berte, S.B. (1987) Growth and food choice by two species of limnephilid caddis larvae given natural and artiflcial foods. Freshwater Biology, 18, 529–535. https://doi.org/10.1111/j.1365-2427.1987.tb01337.x.						
R289	Gupta, T.S. & Stewart, K.W. (2000) Life history and case building behavior of Molanna tryphena (Trichoptera: Molannidae) in two east Texas spring-fed streams. Annals of the Entomological Society of America, 93, 65–74.						
R290	Mundahl, N.D. & Mundahl, E.D. (2015) Habitats and Foraging Movements of Larvae of Molanna uniophila Vorhies (Trichoptera: Molannidae) in Pratt Lake, Michigan, USA. Journal of Insects, 2015, 1–8. https://doi.org/10.1155/2015/475467.						
R291	Xie, S., Cui, Y., Zhang, T. & Li, Z. (2000) Seasonal patterns in feeding ecology of three small fishes in the Biandantang Lake, China. Journal of Fish Biology, 57, 867–880. https://doi.org/10.1111/j.1095-8649.2000.tb02198.x.						
R292	Wallace, J.B. & Malas, D. (1976) The fine structure of capture nets of larval Philopotamidae (Trichoptera), with special emphasis on Dolophilodes distinctus. Canadian Journal of Zoology, 54, 1788–1802. https://doi.org/10.1139/z76-208.						
R293	Massana, R., García-Cantizano, J. & Pedrós-Alió, C. (1996) Components, structure and fluxes of the microbial food web in a small, stratified lake. Aquatic Microbial Ecology, 11, 279–288. https://doi.org/10.3354/ame011279.						
R294	Kottelat, M. (1997) European freshwater fishes. Biologia, 52, 1–271.						
R295	Berglind SÅand Engblom, E. & Lingdell, P.E. (1999) Naturligt sällsynta, hotade eller förbisedda? Nattsländorna Semblis phalaenoides och S. atrata i Sverige. Ent. Tidskr, 120, 1–16.						
R296	Chessman, B. (1986) Dietary studies of Aquatic insects from two Victorian rivers. Marine and Freshwater Research, 37, 129. https://doi.org/10.1071/MF9860129.						
R297	Dudgeon, D. & Richardson, J.S. (1988) Dietary variations of predaceous caddisfly larvae (Trichoptera: Rhyacophilidae, Polycentropodidae and Arctopsychidae) from British Columbian streams. Hydrobiologia, 160, 33–43. https://doi.org/10.1007/BF00014276.						
R298	Jones, J.R.E. (1949) A Further Ecological Study of Calcareous Streams in the `Black Mountain’ District of South Wales. The Journal of Animal Ecology, 18, 142. https://doi.org/10.2307/1596.						
R299	Wellnitz, T.A., Grief, K.A. & Sheldon, S.P. (1994) Response of macroinvertebrates to blooms of iron-depositing bacteria. Hydrobiologia, 281, 1–17. https://doi.org/10.1007/BF00006551.						
R300	Gilljam, D., Thierry, A., Edwards, F.K., Figueroa, D., Ibbotson, A.T., Jones, J.I., Lauridsen, R.B., Petchey, O.L., Woodward, G. & Ebenman, B. (2011) Seeing Double:: Size-Based and Taxonomic Views of Food Web Structure. The Role of Body Size in Multispecies Systems Advances in Ecological Research. (ed. by A. Belgrano) , pp. 67–133. Academic Press. https://doi.org/https://doi.org/10.1016/B978-0-12-386475-8.00003-4.						
R301	Hoshiai, T., Tanimura, A. & Watanabe, K. (1987) Ice algae as food of an Antarctic ice-associated copepod, Paralabidocera antarctica (I.C. Thompson). Proceedings of the NIPR Symposium on Polar Biology, 1, 105–111.						
R302	Denoncourt, C.E. & Stauffer, J.R. (1993) Feeding Selectivity of the American Eel Anguilla rostrata (LeSueur) in the Upper Delaware River. American Midland Naturalist, 129, 301. https://doi.org/10.2307/2426511.						
R303	Korea National Park Service (2023) 국립공원공단. http://www.knps.or.kr.						
R304	Cannicci, S., Gomei, M., Boddi, B. & Vannini, M. (2002) Feeding Habits And Natural Diet of the Intertidal Crab Pachygrapsus marmoratus: Opportunistic Browser or Selective Feeder? Estuarine, Coastal and Shelf Science, 54, 983–1001. https://doi.org/10.1006/ecss.2001.0869.						
R305	Slack, H. D. The Food of Caddis Fly (Trichoptera) Larvae. J. Anim. Ecol. 5, 105 (1936).						
R306	Sipko, L.L. & Malyshev, Y.F. (1975) Feeding of lake minnow in reservoirs of the western Siberia. Novosibirsk: Nauka. Biological Resources of Western Siberia and Their Conservation. Materials of Scientific Conference of Young Scientists, pp. 53–54. (In Russian) (From Fishbase www.fishbase.org)						
R307	Robertson, A.I. & Klumpp, D.W. (1983) Feeding habits of the southern Australian garfish Hyporhamphus melanochir: A diurnal herbivore and nocturnal carnivore. Marine ecology progress series. Oldendorf, 10, 197–201.						
R308	Harbott, B.J. (1975) Preliminary observations on the feeding of Tilapia nilotica Linn. in Lake Rudolf. African Journal of Tropical Hydrobiology and Fisheries, 4, 27–37.						
R309	Saunders, A.J. & Montgomery, J.C. (1985) Field and laboratory studies of the feeding behaviour of the piper Hyporhamphus ihi with reference to the role of the lateral line in feeding. Proceedings of the Royal Society of London. Series B. Biological Sciences, 224, 209–221. https://doi.org/10.1098/rspb.1985.0030.						
R310	Earl, J., Fowler, A.J. & Dittmann, S. (2011) Temporal variation in feeding behaviour and trophic ecology of the temperate hemiramphid, Hyporhamphus melanochir. Environmental Biology of Fishes, 90, 71–83. https://doi.org/10.1007/s10641-010-9719-5.						
R311	Choi, H.C., Han, I.S., Suh, Y.S. & Huh, S.H. (2015) Feeding Habits of Larval Konosirus punctatus from the Nakdong River Estuary, Korea. Korean Journal of Fisheries and Aquatic Sciences, 48, 752–759. https://doi.org/10.5657/KFAS.2015.0752.						
R312	Baeck, G.-W., Park, J.-M., Choo, H.-G. & Huh, S.-H. (2011) Diet composition of Coilia nasus in the coastal waters off Gori, Korea. Korean Journal of Ichthyology, 23, 163–167.						
R313	Kowalski, R., Glogowski, J., Kucharczyk, D., Goryczko, K., Dobosz, S. & Ciereszko, A. (2003) Proteolytic activity and electrophoretic profiles of proteases from seminal plasma of teleosts. Journal of Fish Biology, 63, 1008–1019. https://doi.org/10.1046/j.1095-8649.2003.00224.x.						
R314	Johnson, J.H. & Dropkin, D.S. (1993) Diel variation in diet composition of a riverine fish community. Hydrobiologia, 271, 149–158. https://doi.org/10.1007/BF00005412.						
R315	Roberts, T.R. (1984) Skeletal anatomy and classification of the neotenic Asian salmoniform superfamily Salangoidea (icefishes or noodlefishes). Proceedings of the California Academy of Sciences, 43, 179–220.						
R316	Fujita, S., Kinoshita, I., Takahashi, I. & Azuma, K. (1988) Seasonal Occurrence and Food Habits of Larvae and Juveniles of Two Temperate Basses in the Shimanto Estuary, Japan. Japanese Journal of Ichthyology, 35, 365–370. https://doi.org/10.11369/jji1950.35.365.						
R317	Bacha, M. & Amara, R. (2009) Spatial, temporal and ontogenetic variation in diet of anchovy (Engraulis encrasicolus) on the Algerian coast (SW Mediterranean). Estuarine, Coastal and Shelf Science, 85, 257–264. https://doi.org/10.1016/j.ecss.2009.08.009.						
R318	Costalago, D., Palomera, I. & Tirelli, V. (2014) Seasonal comparison of the diets of juvenile European anchovy Engraulis encrasicolus and sardine Sardina pilchardus in the Gulf of Lions. Journal of Sea Research, 89, 64–72. https://doi.org/10.1016/j.seares.2014.02.008.						
R319	Shahidul Islam, M. & Tanaka, M. (2006) Ontogenetic dietary shift of Japanese sea bass during larva-juvenile transition in Ariake Bay. Marine Ecology Progress Series, 323, 305–310. https://doi.org/10.3354/meps323305.						
R320	ROBOTMAM, P.W.J. (1977) Feeding habits and diet in two populations of spined loach, Cobitis taenia (L.). Freshwater Biology, 7, 469–477. https://doi.org/10.1111/j.1365-2427.1977.tb01696.x.						
R321	Micetic, V., Bucar, M., Ivkovic, M., Piria, M., Krulik, I., Mihoci, I., Delic, A. & Kucinic, M. (2008) Feeding ecology of Sabanejewia balcanica and Cobitis elongata in Croatia. Folia Zoologica, 57, 181.						
R322	Valladolid, M. & Przybylski, M. (2003) Feeding ecology of Cobitis paludica and Cobitis calderoni in Central Spain. Folia Biol.(Kraków), 51, 135–141.						
R323	Hourston, M., Platell, M.E., Valesini, F.J. & Potter, I.C. (2004) Factors influencing the diets of four morphologically divergent fish species in nearshore marine waters. Journal of the Marine Biological Association of the United Kingdom, 84, 805–817.						
R324	Park, C.-W., Kim, J.-G., Yun, S.-W., Kim, H.-T., Park, J.-S., Choi, W.-S., Cho, Y.-J., Lee, Y.-J. & Park, J.-Y. (2018) Habitat, diet, feeding and resting behaviour of the Korean endemic cobitid Iksookimia hugowolfeldi (Cobitidae, Pisces) in the wild. Folia Zoologica, 67, 1–8. https://doi.org/10.25225/fozo.v67.i1.a2.2018.						
R325	Ko, M.-H., Park, J.-Y. & Kim, S.-H. (2009) Habitat environment and feeding habitat of Iksookimia koreensis and Cobitis lutheri (Pisces: Cobitidae) in the Mangyeong River, Korea. Korean Journal of Ichthyology, 21, 253–261.						
R326	Ko, M.-H. (2015) Habitat characteristics and feeding ecology of the Korean endemic species, Iksookimia pacifica (Pisces: Cobitidae) in the Bukcheon (stream), Korea. Korean Journal of Ichthyology, 27, 275–283.						
R327	Ko, M.-H., Kim, H.-J., Myung, R.-Y. & Won, Y.-J. (2018) The activity period and feeding ecology of the Korean eastern spined loach, Iksookimia yongdokensis (Pisces: Cobitidae). Korean Journal of Ichthyology, 30, 27–35.						
R328	Kim, E.-J., Kim, I.-S. & Onikura, N. (2011) Size-related changes in food of dwarf loach, Kichulchoia brevifasciata (Kim & Lee, 1995). Folia Zoologica, 60, 295–301. https://doi.org/10.25225/fozo.v60.i4.a5.2011.						
R329	Worthington, E.B. (1932) A report on the fisheries of Uganda investigated by the Cambridge Expedition to the East African Lakes, 1930-31, Crown Agents for the Colonies (On behalf of the Government of Uganda), London 87p.						
R330	Hong, Y.-K., Yang, H. & Bang, I.-C. (2011) Habitat, reproduction and feeding habit of endangered fish Koreocobitis naktongensis (Cobitidae) in the Jaho Stream, Korea. Korean Journal of Ichthyology, 23, 234–241.						
R331	Pyrzanowski, K., Zięba, G., Leszczyńska, J., Adamczuk, M., Dukowska, M. & Przybylski, M. (2021) Food resource partitioning between juvenile and mature weatherfish Misgurnus fossilis. Ecology and Evolution, 11, 4460–4469. https://doi.org/10.1002/ece3.7340.						
R332	Son, Y.-M. (2000) Population ecology of Abbottina springeri (Cyprinidae) in the Musimchon stream, Korea. Korean Journal of Ichthyology, 12, 186–191.						
R333	Gunn, J.S. & Milward, N.E. (1985) The food, feeding habits and feeding structures of the whiting species Sillago sihama (Forsskal) and Sillago analis Whitley from Townsville, North Queensland, Australia. Journal of Fish Biology, 26, 411–427. https://doi.org/10.1111/j.1095-8649.1985.tb04281.x.						
R334	Spataru, P. & Zorn, M. (1978) Food and feeding habits of Tilapia aurea (Steindachner) (Cichlidae) in Lake Kinneret (Israel). Aquaculture, 13, 67–79. https://doi.org/10.1016/0044-8486(78)90129-1.						
R335	Yu, J., Xia, M., Zhen, W., He, H., Shen, R., Guan, B. & Liu, Z. (2020) A small omnivore fish ( Acheilognathus macropterus ) reduces both growth and biomass of submerged macrophytes: implications for shallow lake restoration. Knowledge & Management of Aquatic Ecosystems, 34. https://doi.org/10.1051/kmae/2020028.						
R336	Hajisamae, S., Chou, L.M. & Ibrahim, S. (2004) Feeding habits and trophic relationships of fishes utilizing an impacted coastal habitat, Singapore. Hydrobiologia, 520, 61–71. https://doi.org/10.1023/B:HYDR.0000027727.90956.a9.						
R337	Miyamoto, R., Suguro, N., Takaku, K. & Hosoya, K. (2009) Optimal Feeding Regime for an Endangered Cyprinid, Chinese Bleak Aphyocypris chinensis Günther. Aquaculture Science, 57, 455–461.						
R338	Baeta, A., Niquil, N., Marques, J.C. & Patrício, J. (2011) Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs. Ecological Modelling, 222, 1209–1221. https://doi.org/10.1016/j.ecolmodel.2010.12.010.						
R339	Santiago, C.B. & Reyes, O.S. (1991) Optimum dietary protein level for growth of bighead carp (Aristichthys nobilis) fry in a static water system. Aquaculture, 93, 155–165. https://doi.org/10.1016/0044-8486(91)90214-R.						
R340	Tibbetts, I.R. & Carseldine, L. (2005) Trophic shifts in three subtropical Australian halfbeaks (Teleostei:Hemiramphidae). Marine and Freshwater Research, 56, 925. https://doi.org/10.1071/MF04305.						
R341	Scaps, P. (2002) A review of the biology, ecology and potential use of the common ragworm Hediste diversicolor (OF Müller)(Annelida: Polychaeta). Hydrobiologia, 470, 203–218.						
R342	Song, H. B. & Kwon, O. K. (1993) Ecology of Coreoleuciscus splendidus Mori (Cyprinidae) in Hongchon River. Korean Journal of Limnology, 26, 235–244.						
R343	Robotham, P.W.J. (1990) Trophic niche overlap of the fry and juveniles of Oreochromis leucostictus (Teleostei, Cichlidae) in the littoral zone of a tropical lake (L. Naivasha, Kenya). Revue d’hydrobiologie tropicale, 23, 209–218.						
R344	McKay, R.J. (1992) FAO species catalogue. Vol. 14. Sillaginid fishes of the world. (Family Sillaginidae). An Annotated and Illustrated Catalogue of the Sillago, Smelt or Indo-Pacific Whiting Species Known to Date. FAO Fisheries Synopsis. No. 125, Vol. 14., p. 87. Food and Agriculture Organization of the United Nations, Rome.						
R345	Chilton, E.W. & Muoneke, M.I. (1992) Biology and management of grass carp (Ctenopharyngodon idella, Cyprinidae) for vegetation control: a North American perspective. Reviews in Fish Biology and Fisheries, 2, 283–320. https://doi.org/10.1007/BF00043520.						
R346	Ren, K., Xu, D., Ren, L. & Zhao, D. (2023) Using a topological approach to identify keystone species of fish in eutrophic lake ecosystems: A case of Zhushan Bay, Taihu Lake. Fisheries Management and Ecology, 30, 89–98. https://doi.org/10.1111/fme.12602.						
R347	Ramanand, R. & Roy, S.P. (2009) Predatory Efficiency of Diplonychus annulatum (Fabr.) (Hemiptera:Belostomatidae) on Developmental Stages of a Major Carp Catla catla (Ham.). Our Nature, 6, 15–18. https://doi.org/10.3126/on.v6i1.1649.						
R348	Hines, J., Giling, D.P., Rzanny, M., Voigt, W., Meyer, S.T., Weisser, W.W., Eisenhauer, N. & Ebeling, A. (2019) A meta food web for invertebrate species collected in a European grassland. Ecology, 2, e02679. https://doi.org/https://doi.org/10.1023/A:1015681605656.						
R349	De Silva, S.S., Perera, M.K. & Maitipe, P. (1984) The composition, nutritional status and digestibility of the diets of Sarotherodon mossambicus from nine man-made lakes in Sri Lanka. Environmental Biology of Fishes, 11, 205–219. https://doi.org/10.1007/BF00000465.						
R350	Tig (2021) Anax imperator feeding on Daphnia. iNaturalist.org. https://www.inaturalist.org/observations/94198807.						
R351	Choi, J.-S., Kwon, O.-K., Park, J.-H. & Byeon, H.-K. (2001) Feeding Habit of Gobiobotia brevibarba (Cyprinidae) from the Hongcheon River, Korea. Korean Journal of Ichthyology, 13, 230–236.						
R352	Wu, B., Lei, H., Zhen, J., Zhao, L., Song, B. & Zeng, Y. (2023) Comparative Research on Intestinal Functions of Wild and Cultured Hemibarbus maculatus in Jialing River. Animals, 13, 189. https://doi.org/10.3390/ani13020189.						
R353	Li, W., Zhai, D., Wang, C., Gao, X., Liu, H. & Cao, W. (2021) Relationships Among Trophic Niche Width, Morphological Variation, and Genetic Diversity of Hemiculter leucisculus in China. Frontiers in Ecology and Evolution, 9. https://doi.org/10.3389/fevo.2021.691218.						
R354	Liu, M., Jia, J., Wang, H. & Wang, L. (2022) Allometric model of brain morphology of Hemiculter leucisculus and its variation along climatic gradients. Journal of Anatomy, 241, 259–271. https://doi.org/10.1111/joa.13664.						
R355	Kwak, S. N., Huh, S. -H. & Baek, G. W. (2004) Feeding Ecology of Sillago japonica in an Eelgrass (Zostera marina) Bed. Fisheries and Aquatic Sciences, 7, 84–89.						
R356	Byeon, H.K., Cho, K.S., Choi, J.S., Park, J.H., Choi, J.K., Son, Y.M. & Jeon, S.R. (1995) 열목어 ( Brachymystax lenok tsinlingensis ) 의 먹이선택 습성 TT - Diet of Manchurian trout ( Brachymystax lenok tsinlingensis ) at Jindong Stream. 한국하천호수학회지, 28, 279–287.						
R357	Song, H.-B. & Son, Y.-M. (2003) Population Ecology of Microphysogobio longidorsalis (Cyprinidae) from Korea. Korean Journal of Ichthyology, 15, 303–310.						
R348	Byung, H.-K. (2022) Ecological characteristics of Microphysogobio yaluensis in Dugye stream of Geum River basin, Korea. Korean Journal of Environmenal Ecology, 36, 381–389.						
R359	지민규, (2012) 끄리 (Opsariichthys uncirostris amurensis) 의 연령과 성장 (Master), Pukyong National University.						
R360	Choi, J.-S., Jang, Y.-S., Lee, K.-Y. & Kwon, O,-K. (2004) Feeding Habit of Gobiobotia macrocephala (Cyprinidae) from the Namhan River, Korea. Korea Journal of Ichthyology, 16, 165–172.						
R361	Vinogradov, G. (2021) Succinea putris host plant Urtica dioica. iNaturalist.org. https://www.inaturalist.org/observations/93087987.						
R362	Lee, M.-S. & Lim, J.-W. (2005) Comparative study of retinal tissues of genus Zacco and genus Pseudogobio in Korean fish: possible relationship with prey and habitat. Korean Journal of Anatomy, 103–110.						
R363	김익수 & 이홍헌 (2004) 감돌고기 Pseudopungtungia nigra 의 성장 및 계절변화, 서식지 교란에 따른 먹이생물 변화. 한국어류학회 추계학술발표요약집, 2004, 122–123.						
R364	Yalcin-Ozdilek, S., Gulsun Kirankaya, S. & Guler Ekmekci, F. (2013) Feeding Ecology of the Topmouth Gudgeon Pseudorasbora parva (Temminck and Schlegel, 1846) in the Gelingüllü Reservoir, Turkey. Turkish Journal of Fisheries and Aquatic Sciences, 13. https://doi.org/10.4194/1303-2712-v13_1_11.						
R365	Wolfram-Wais, A., Wolfram, G., Auer, B., Mikschi, E. & Hain, A. (1999) Feeding habits of two introduced fish species ( Lepomis gibbosus, Pseudorasbora parva) in Neusiedler See (Austria), with special reference to chironomid larvae (Diptera: Chironomidae). Hydrobiologia, 408, 123–129. https://doi.org/10.1023/A:1017014130103.						
R366	Lee, H.H. (2011) Reproductive strategies of genus Pseudopungtungia and Pungtungia. Doctoral Thesis, Kunsan National University, Gunsan, 131pp.(in Korean).						
R367	Baek, H.-M, Song, H.-B, Sim, H.-S. & Kwon, O.-K. (2002) Habitat segregation and prey seletivity on cohabitation fishes, Phoxinus phoxinus and Rhynchocypris kumgangensis. Korean Journal of Ichthyology, 19, 59–69.						
R368	Choi, J.S., Lee, K.Y., Jang, Y.S., Park, J.H. & Kwon, O.-K. (2006) Feeding habit of Rhynchocypris kumgangensis (Cyprinidae) from the Hongcheon River, Korea. Korean Journal of Environmental Biology, 24, 29–37.						
R369	Ma, J., Zhang, F.B., Li, J., Lv, Z.Y., Zhang, C., Mao, L. & Zeng, Y. (2023) Seasonal Dynamics of Feeding Habits of a Cyprinid Fish, Saurogobio dabryi in the Downstream of the Jialing River, China. Pakistan Journal of Zoology, 55, 2131.						
R370	Byeon, H.-K. (2021) Ecology characteristics of Korean slender gudgeon, Squalidus gracilis Majimae in Sinan Stream, Korea. Korean Journal of Environment and Ecology, 35, 277–284.						
R371	Byeon, H.-K. (2012) Population Ecology of Squalidus japonicus coreanus (Cyprinidae) in the Namhan River, Korea. Korean Journal of Environment and Ecology, 26, 367–373.						
R372	Shireman, J. V (1983) Synopsis of biological data on the grass carp, Ctenopharyngodon idella (Cuvier and Valenciennes, 1844), Food & Agriculture Org.						
R373	Choi, K.-B. (1990) On the loaches (Pisces, Cobitidae) and their habitas in a Imchon stream of the Nakdong River. Master thesis. Chonbuk National University,.						
R374	Byeon, H.-K. (2010) Ecological Study of Orthrias nudus (Balitoridae) in the Eoron Stream of Korea.Korean Journal of Ichthyology, 22, 162–167.						
R375	Larson, G.L. (1976) Social behavior and feeding ability of two phenotypes of Gasterosteus aculeatus in relation to their spatial and trophic segregation in a temperate lake. Canadian Journal of Zoology, 54, 107–121. https://doi.org/10.1139/z76-012.						
R376	Loginov, V. V., Klevakin, A.A., Moreva, O.A., Tarbeyev, M.L., Bayanov, N.G. & Darsia, N.A. (2014) The morphological characteristics and feeding of Nine-spined stickleback (Pungitius pungitius Linnaeus, 1758) in the basin of the Cheboksary reservoir. Russian Journal of Biological Invasions, 5, 186–193. https://doi.org/10.1134/S2075111714030084.						
R377	Vinogradov, G. (2021a) Succinea putris host plant Arctium tomentosum. iNaturalist.org. https://www.inaturalist.org/observations/93028271.						
